Entity,Code,Year,12.3.1 - Food waste per capita (KG) - AG_FOOD_WST_PC - Retail,12.3.1 - Food waste per capita (KG) - AG_FOOD_WST_PC - Out-of-home consumption,12.3.1 - Food waste per capita (KG) - AG_FOOD_WST_PC - Households,time,time,time
Azerbaijan,AZE,2022,31.47,29.41,101.9,2022,2022,2022
Brazil,BRA,2022,2.67,47.55,94.23,2022,2022,2022
China,CHN,2022,19.8,45.64,76.21,2022,2022,2022
Ghana,GHA,2022,9.68,31.14,84.02,2022,2022,2022
Indonesia,IDN,2022,49.93,40.11,53.46,2022,2022,2022
Mexico,MEX,2022,45.48,64.39,104.85,2022,2022,2022
Pakistan,PAK,2022,9.68,32.48,130.41,2022,2022,2022
Thailand,THA,2022,49.93,40.12,86.2,2022,2022,2022
Turkey,TUR,2022,31.46,29.4,101.88,2022,2022,2022
United States,USA,2022,11.86,73.72,73.06,2022,2022,2022
World,OWID_WRL,2022,16.45,36.34,79.12,2022,2022,2022